rank,overall_score,collusion_score,whale_score,sybil_score,bias_score,voting_method,stake_method,slashing_method,consensus_threshold,slashing_rate,sybil_resistance,max_voting_power
51,0.8142,0.8183,0.715,0.9333,0.79,weighted,reputation_based,progressive,0.85,0.3,0.875,0.7
52,0.8142,0.8033,0.7283,0.9017,0.8233,weighted,token_based,progressive,0.8,0.3,0.625,0.9
53,0.8137,0.8,0.7317,0.905,0.8183,weighted,token_based,progressive,0.85,0.3,0.875,0.1
54,0.8137,0.8117,0.7233,0.9183,0.8017,weighted,token_based,progressive,0.85,0.3,0.75,0.8
55,0.8137,0.7933,0.8267,0.83,0.805,weighted,equal_weight,none,0.7,0.15,1.0,0.2
56,0.8137,0.7717,0.83,0.8317,0.8217,simple_majority,hybrid,linear,0.7,0.3,0.875,0.2
57,0.8137,0.8183,0.7017,0.905,0.83,weighted,token_based,progressive,0.8,0.3,0.75,0.9
58,0.8137,0.7367,0.8583,0.8617,0.7983,simple_majority,hybrid,none,0.75,0.05,0.875,0.7
59,0.8137,0.8267,0.815,0.8167,0.7967,simple_majority,hybrid,exponential,0.5,0.1,0.625,0.5
60,0.8137,0.8083,0.8167,0.8267,0.8033,quadratic,equal_weight,progressive,0.7,0.1,0.875,0.8
61,0.8137,0.775,0.825,0.845,0.81,simple_majority,token_based,exponential,0.7,0.05,1.0,0.3
62,0.8133,0.8117,0.73,0.8967,0.815,weighted,token_based,progressive,0.85,0.3,0.625,0.4
63,0.8133,0.825,0.8117,0.8233,0.7933,weighted,equal_weight,progressive,0.7,0.2,1.0,0.9
64,0.8133,0.7967,0.81,0.8267,0.82,simple_majority,token_based,exponential,0.65,0.25,0.75,0.4
65,0.8133,0.805,0.8067,0.8367,0.805,simple_majority,equal_weight,linear,0.6,0.2,0.875,0.5
66,0.8133,0.83,0.8333,0.77,0.82,simple_majority,equal_weight,progressive,0.65,0.15,0.375,0.7
67,0.8133,0.8083,0.7167,0.9167,0.8117,weighted,reputation_based,progressive,0.85,0.3,1.0,0.6
68,0.8133,0.805,0.71,0.9133,0.825,weighted,token_based,progressive,0.8,0.3,0.375,0.7
69,0.8133,0.7983,0.7567,0.9167,0.7817,quadratic,token_based,progressive,0.85,0.3,0.875,0.7
70,0.8133,0.8233,0.7117,0.9133,0.805,weighted,reputation_based,progressive,0.85,0.3,0.625,0.3
71,0.8133,0.8117,0.815,0.7967,0.83,simple_majority,token_based,exponential,0.5,0.0,0.25,1.0
72,0.8133,0.8033,0.74,0.8583,0.8517,weighted,token_based,progressive,0.75,0.3,0.625,0.8
73,0.8129,0.8117,0.7167,0.8967,0.8267,weighted,reputation_based,progressive,0.8,0.3,0.875,0.3
74,0.8129,0.81,0.6983,0.9133,0.83,weighted,reputation_based,progressive,0.8,0.3,0.625,1.0
75,0.8129,0.8033,0.8367,0.8083,0.8033,weighted,equal_weight,progressive,0.65,0.05,0.625,0.1
76,0.8129,0.785,0.8217,0.8317,0.8133,simple_majority,hybrid,none,0.7,0.2,0.625,1.0
77,0.8129,0.8167,0.715,0.9167,0.8033,weighted,token_based,progressive,0.85,0.3,1.0,0.5
78,0.8129,0.8217,0.7333,0.905,0.7917,weighted,hybrid,progressive,0.85,0.3,0.75,0.5
79,0.8125,0.8183,0.695,0.9033,0.8333,weighted,token_based,progressive,0.8,0.3,1.0,0.6
80,0.8125,0.8033,0.8167,0.8067,0.8233,simple_majority,token_based,none,0.7,0.0,0.875,0.4
81,0.8125,0.8033,0.6967,0.9117,0.8383,weighted,token_based,progressive,0.8,0.3,0.75,0.6
82,0.8125,0.8133,0.7033,0.9083,0.825,weighted,token_based,progressive,0.8,0.3,0.5,0.5
83,0.8125,0.8117,0.7233,0.915,0.8,weighted,token_based,progressive,0.85,0.3,0.625,0.1
84,0.8125,0.81,0.8033,0.8283,0.8083,simple_majority,equal_weight,exponential,0.51,0.2,1.0,1.0
85,0.8125,0.8017,0.7133,0.895,0.84,weighted,reputation_based,progressive,0.8,0.3,0.625,0.1
86,0.8125,0.8133,0.7067,0.9183,0.8117,weighted,reputation_based,progressive,0.85,0.3,0.5,0.8
87,0.8125,0.8067,0.7433,0.9,0.8,weighted,reputation_based,progressive,0.85,0.3,0.625,0.8
88,0.8125,0.7817,0.745,0.915,0.8083,quadratic,token_based,progressive,0.8,0.3,1.0,0.9
89,0.8125,0.8017,0.7233,0.9217,0.8033,weighted,reputation_based,progressive,0.85,0.3,0.875,0.5
90,0.8121,0.8017,0.7233,0.9117,0.8117,weighted,token_based,progressive,0.85,0.3,1.0,0.7
91,0.8121,0.8033,0.7033,0.9033,0.8383,weighted,token_based,progressive,0.8,0.3,0.75,0.8
92,0.8121,0.825,0.73,0.8917,0.8017,weighted,token_based,progressive,0.85,0.3,0.5,0.5
93,0.8121,0.8117,0.8,0.8467,0.79,simple_majority,equal_weight,progressive,0.6,0.3,1.0,0.3
94,0.8121,0.7367,0.84,0.8633,0.8083,simple_majority,reputation_based,none,0.75,0.0,1.0,0.5
95,0.8121,0.795,0.7917,0.84,0.8217,simple_majority,hybrid,linear,0.65,0.15,1.0,1.0
96,0.8121,0.8117,0.7183,0.9017,0.8167,weighted,reputation_based,progressive,0.85,0.3,0.375,0.1
97,0.8121,0.8117,0.7167,0.8967,0.8233,weighted,reputation_based,progressive,0.8,0.3,1.0,0.3
98,0.8121,0.8183,0.7183,0.8933,0.8183,weighted,reputation_based,progressive,0.8,0.3,0.5,0.6
99,0.8121,0.7983,0.7233,0.8867,0.84,weighted,token_based,progressive,0.8,0.3,0.875,0.5
100,0.8117,0.7967,0.7117,0.91,0.8283,weighted,reputation_based,progressive,0.85,0.3,1.0,0.4
101,0.8117,0.7833,0.7617,0.915,0.7867,quadratic,token_based,progressive,0.85,0.3,0.875,1.0
102,0.8117,0.825,0.8183,0.8033,0.8,simple_majority,reputation_based,none,0.55,0.3,0.375,0.1
103,0.8117,0.7983,0.83,0.8083,0.81,weighted,equal_weight,progressive,0.51,0.3,0.5,0.4
104,0.8117,0.7933,0.7133,0.9133,0.8267,weighted,reputation_based,progressive,0.8,0.3,0.5,0.4
105,0.8117,0.7833,0.74,0.9083,0.815,quadratic,token_based,progressive,0.8,0.3,0.75,0.8
106,0.8117,0.7383,0.825,0.87,0.8133,weighted,equal_weight,linear,0.75,0.0,1.0,0.1
107,0.8117,0.8117,0.7133,0.9033,0.8183,weighted,token_based,progressive,0.8,0.3,0.75,0.5
108,0.8117,0.83,0.8017,0.8083,0.8067,simple_majority,reputation_based,none,0.55,0.05,0.875,0.8
109,0.8117,0.8117,0.7183,0.9217,0.795,weighted,hybrid,progressive,0.85,0.3,0.875,0.1
110,0.8117,0.8033,0.7267,0.8817,0.835,weighted,reputation_based,progressive,0.8,0.3,0.125,0.1
111,0.8117,0.81,0.7233,0.89,0.8233,weighted,reputation_based,progressive,0.8,0.3,0.5,0.2
112,0.8117,0.7433,0.8367,0.8467,0.82,weighted,equal_weight,none,0.75,0.15,0.875,1.0
113,0.8117,0.75,0.825,0.8567,0.815,simple_majority,hybrid,linear,0.75,0.25,0.875,0.6
114,0.8117,0.7933,0.7183,0.895,0.84,weighted,token_based,progressive,0.8,0.3,0.625,1.0
115,0.8117,0.8067,0.72,0.91,0.81,weighted,reputation_based,progressive,0.85,0.3,0.5,1.0
116,0.8117,0.8183,0.7083,0.915,0.805,weighted,token_based,progressive,0.8,0.3,0.625,0.6
117,0.8117,0.77,0.8317,0.84,0.805,simple_majority,reputation_based,progressive,0.7,0.2,0.75,0.7
118,0.8117,0.7967,0.7,0.9467,0.8033,weighted,reputation_based,progressive,0.85,0.3,1.0,0.5
119,0.8117,0.7517,0.8333,0.8367,0.825,simple_majority,hybrid,progressive,0.7,0.25,1.0,0.9
120,0.8113,0.8,0.7417,0.9217,0.7817,quadratic,reputation_based,progressive,0.85,0.3,1.0,0.1
121,0.8113,0.8217,0.8283,0.7883,0.8067,simple_majority,token_based,linear,0.6,0.05,0.625,0.2
122,0.8113,0.79,0.73,0.9167,0.8083,quadratic,reputation_based,progressive,0.8,0.3,1.0,0.7
123,0.8113,0.7883,0.8083,0.8267,0.8217,simple_majority,reputation_based,progressive,0.7,0.3,0.875,0.1
124,0.8113,0.765,0.8517,0.8217,0.8067,simple_majority,equal_weight,exponential,0.75,0.0,0.75,0.4
125,0.8113,0.8033,0.8317,0.8233,0.7867,weighted,equal_weight,linear,0.7,0.1,1.0,0.8
126,0.8113,0.7533,0.8183,0.8933,0.78,quadratic,equal_weight,linear,0.75,0.3,1.0,0.9
127,0.8113,0.8167,0.7,0.905,0.8233,weighted,reputation_based,progressive,0.8,0.25,0.25,0.1
128,0.8113,0.735,0.84,0.87,0.8,weighted,equal_weight,exponential,0.75,0.15,0.875,0.9
129,0.8113,0.7867,0.72,0.9083,0.83,weighted,reputation_based,progressive,0.8,0.3,0.75,0.1
130,0.8113,0.8183,0.7083,0.91,0.8083,weighted,reputation_based,progressive,0.85,0.3,0.875,0.9
131,0.8113,0.8067,0.8,0.8133,0.825,weighted,equal_weight,linear,0.65,0.0,0.875,0.9
132,0.8113,0.7817,0.8183,0.8317,0.8133,quadratic,equal_weight,progressive,0.7,0.0,0.875,0.9
133,0.8113,0.815,0.7267,0.9,0.8033,weighted,reputation_based,progressive,0.85,0.3,0.75,0.7
134,0.8113,0.8133,0.815,0.8,0.8167,quadratic,reputation_based,progressive,0.51,0.25,0.5,0.5
135,0.8113,0.8167,0.7967,0.8317,0.8,simple_majority,reputation_based,linear,0.51,0.05,0.125,0.2
136,0.8113,0.78,0.8283,0.825,0.8117,simple_majority,reputation_based,progressive,0.7,0.2,0.75,0.9
137,0.8113,0.7583,0.8317,0.8367,0.8183,quadratic,equal_weight,none,0.7,0.3,1.0,0.3
138,0.8108,0.7917,0.735,0.9083,0.8083,quadratic,reputation_based,progressive,0.8,0.3,0.875,0.3
139,0.8108,0.7617,0.835,0.8533,0.7933,simple_majority,token_based,none,0.75,0.0,0.875,0.3
140,0.8108,0.8067,0.795,0.8283,0.8133,simple_majority,reputation_based,none,0.6,0.0,0.25,0.3
141,0.8108,0.7967,0.7967,0.8383,0.8117,simple_majority,equal_weight,progressive,0.7,0.3,1.0,0.4
142,0.8108,0.8217,0.735,0.8833,0.8033,weighted,token_based,progressive,0.85,0.3,0.625,0.6
143,0.8108,0.8317,0.8083,0.8,0.8033,simple_majority,equal_weight,none,0.6,0.0,0.25,0.8
144,0.8108,0.8017,0.8217,0.805,0.815,simple_majority,hybrid,progressive,0.7,0.1,0.75,0.4
145,0.8108,0.8067,0.715,0.8833,0.8383,weighted,token_based,progressive,0.75,0.3,0.0,0.8
146,0.8108,0.815,0.8067,0.815,0.8067,quadratic,hybrid,progressive,0.6,0.15,1.0,0.6
147,0.8108,0.79,0.7967,0.8583,0.7983,simple_majority,hybrid,exponential,0.65,0.3,0.625,0.6
148,0.8108,0.82,0.6967,0.905,0.8217,weighted,hybrid,progressive,0.8,0.3,0.75,0.5
149,0.8108,0.7983,0.705,0.8933,0.8467,quadratic,reputation_based,progressive,0.75,0.3,1.0,0.2
150,0.8108,0.7217,0.8467,0.8733,0.8017,weighted,equal_weight,exponential,0.75,0.1,0.875,0.8
